sku_id,year_month,units,revenue
SKU_00083,2025-09,1856,82413
SKU_00168,2025-06,1856,82413
SKU_00082,2025-04,1856,82413
SKU_00167,2025-01,1856,82413
SKU_00168,2025-07,1856,82413
SKU_00082,2025-05,1856,82413
SKU_00167,2025-02,1856,82413
SKU_00055,2024-10,1856,82413
SKU_00168,2025-08,1856,82413
SKU_00082,2025-06,1856,82413
SKU_00167,2025-03,1856,82413
SKU_00081,2025-01,1856,82413
SKU_00055,2024-11,1856,82413
SKU_00168,2025-09,1856,82413
SKU_00082,2025-07,1856,82413
SKU_00167,2025-04,1856,82413
SKU_00081,2025-02,1856,82413
SKU_00055,2024-12,1856,82413
SKU_00049,2024-06,1856,82413
SKU_00082,2025-08,1856,82413
SKU_00167,2025-05,1856,82413
SKU_00081,2025-03,1856,82413
SKU_00205,2024-10,1856,82413
SKU_00049,2024-07,1856,82413
SKU_00082,2025-09,1856,82413
SKU_00167,2025-06,1856,82413
SKU_00081,2025-04,1856,82413
SKU_00231,2025-01,1856,82413
SKU_00166,2025-01,1856,82413
SKU_00205,2024-11,1856,82413
SKU_00049,2024-08,1856,82413
SKU_00167,2025-07,1856,82413
SKU_00081,2025-05,1856,82413
SKU_00231,2025-02,1856,82413
SKU_00166,2025-02,1856,82413
SKU_00205,2024-12,1856,82413
SKU_00049,2024-09,1856,82413
SKU_00054,2024-10,1856,82413
SKU_00167,2025-08,1856,82413
SKU_00081,2025-06,1856,82413
SKU_00231,2025-03,1856,82413
SKU_00166,2025-03,1856,82413
SKU_00080,2025-01,1856,82413
SKU_00054,2024-11,1856,82413
SKU_00059,2025-10,1856,82413
SKU_00167,2025-09,1856,82413
SKU_00081,2025-07,1856,82413
SKU_00231,2025-04,1856,82413
SKU_00166,2025-04,1856,82413
SKU_00080,2025-02,1856,82413
SKU_00054,2024-12,1856,82413
SKU_00048,2024-06,1856,82413
SKU_00059,2025-11,1856,82413
SKU_00081,2025-08,1856,82413
SKU_00231,2025-05,1856,82413
SKU_00166,2025-05,1856,82413
SKU_00080,2025-03,1856,82413
SKU_00204,2024-10,1856,82413
SKU_00048,2024-07,1856,82413
SKU_00081,2025-09,1856,82413
SKU_00231,2025-06,1856,82413
SKU_00166,2025-06,1856,82413
SKU_00080,2025-04,1856,82413
SKU_00230,2025-01,1856,82413
SKU_00204,2024-11,1856,82413
SKU_00048,2024-08,1856,82413
SKU_00231,2025-07,1856,82413
